transaction_id,card_id,cardholder_id,amount,currency,merchant_id,merchant_name,merchant_category,entry_mode,card_type,card_network,latitude,longitude,country_code,device_fingerprint,ip_address,is_fraud,fraud_archetype,timestamp
TX_B5F772954AC1,CARD_100202,USR_50202,25.85,USD,M_SHL_04,Shell Gas & Convenience,GAS_STATION,E_COMMERCE,DEBIT_PREPAID,VISA,41.9641,-87.55,US,DEV_92524DB2,192.168.223.99,0,LEGITIMATE,2026-06-28T09:22:24.556502+00:00
TX_8A05C164FE6C,CARD_100275,USR_50275,518.85,USD,M_CRP_07,CryptoPay Gateway,CRYPTO_EXCHANGE,E_COMMERCE,DEBIT_PREPAID,AMEX,29.7206,-95.2589,US,DEV_798F9750,192.168.128.72,0,LEGITIMATE,2026-06-28T09:24:44.556502+00:00
TX_306FABFEC6D4,CARD_100472,USR_50472,7724.41,USD,M_RLX_08,Rolex Boutique Geneva,LUXURY_JEWELRY,CONTACTLESS,DEBIT_PREPAID,VISA,40.6026,-73.9521,US,DEV_66AE8D52,192.168.125.114,0,LEGITIMATE,2026-06-28T09:27:04.556502+00:00
TX_D2865A8BEBD6,CARD_100154,USR_50154,6.77,USD,M_AMZN_01,Amazon Online Marketplace,E_COMMERCE,CONTACTLESS,CREDIT_PLATINUM,VISA,41.7165,-87.5653,US,DEV_78E8FA91,192.168.56.40,0,LEGITIMATE,2026-06-28T09:29:24.556502+00:00
TX_DAD32F7A78C0,CARD_100434,USR_50434,414.74,USD,M_CRP_07,CryptoPay Gateway,CRYPTO_EXCHANGE,CONTACTLESS,CREDIT_STANDARD,AMEX,41.9344,-87.5367,US,DEV_F30B3721,192.168.183.225,0,LEGITIMATE,2026-06-28T09:31:44.556502+00:00
TX_77EE3D6CE39E,CARD_100192,USR_50192,8198.23,USD,M_RLX_08,Rolex Boutique Geneva,LUXURY_JEWELRY,CHIP,CREDIT_INFINITE,DISCOVER,40.811,-74.0717,US,DEV_2AB0581C,192.168.76.54,0,LEGITIMATE,2026-06-28T09:34:04.556502+00:00
TX_9991785CDEF4,CARD_100377,USR_50377,5.28,USD,M_AMZN_01,Amazon Online Marketplace,E_COMMERCE,E_COMMERCE,CREDIT_INFINITE,AMEX,34.0478,-118.2926,US,DEV_1B9C44FA,192.168.211.184,0,LEGITIMATE,2026-06-28T09:36:24.556502+00:00
TX_56830E162EDB,CARD_100428,USR_50428,247.26,USD,M_CRP_07,CryptoPay Gateway,CRYPTO_EXCHANGE,CONTACTLESS,DEBIT_STANDARD,VISA,33.3433,-111.9955,US,DEV_C604280C,192.168.246.120,0,LEGITIMATE,2026-06-28T09:38:44.556502+00:00
TX_F00508353016,CARD_100322,USR_50322,18.76,USD,M_MCD_09,McDonald's Fast Food,RESTAURANT,E_COMMERCE,CREDIT_PLATINUM,MASTERCARD,41.9844,-87.5877,US,DEV_096E559A,192.168.203.29,0,LEGITIMATE,2026-06-28T09:41:04.556502+00:00
TX_D3A90ED85914,CARD_100425,USR_50425,9.52,USD,M_STM_10,Steam Digital Gaming,DIGITAL_GOODS,E_COMMERCE,CREDIT_INFINITE,MASTERCARD,34.1298,-118.2382,US,DEV_F8EA7432,192.168.214.178,0,LEGITIMATE,2026-06-28T09:43:24.556502+00:00
TX_BA20C205BB67,CARD_100179,USR_50179,575.39,USD,M_CRP_07,CryptoPay Gateway,CRYPTO_EXCHANGE,CONTACTLESS,CREDIT_PLATINUM,DISCOVER,29.8124,-95.2613,US,DEV_56F3A159,192.168.4.175,0,LEGITIMATE,2026-06-28T09:45:44.556502+00:00
TX_B809B772D30A,CARD_100269,USR_50269,1020.01,USD,M_CRP_07,CryptoPay Gateway,CRYPTO_EXCHANGE,CNP,DEBIT_STANDARD,DISCOVER,19.3133,-81.2546,KY,DEV_C691E4FD,10.0.102.253,1,CRYPTO_VELOCITY,2026-06-28T09:48:04.556502+00:00
TX_1F1FDF3BE41B,CARD_100465,USR_50465,1013.29,USD,M_BLG_06,Bellagio Hotel & Casino,GAMBLING,CONTACTLESS,CREDIT_INFINITE,MASTERCARD,33.8508,-118.1251,US,DEV_AC2F1004,192.168.152.129,0,LEGITIMATE,2026-06-28T09:50:24.556502+00:00
TX_075019B210F9,CARD_100193,USR_50193,719.53,USD,M_BLG_06,Bellagio Hotel & Casino,GAMBLING,CHIP,CREDIT_STANDARD,MASTERCARD,34.0464,-118.2661,US,DEV_A00742B1,192.168.117.80,0,LEGITIMATE,2026-06-28T09:52:44.556502+00:00
TX_1FE56CB38194,CARD_100110,USR_50110,616.19,USD,M_APPL_03,Apple Flagship Store,ELECTRONICS,CNP,CREDIT_PLATINUM,VISA,47.6618,-122.3322,US,DEV_18FB025D,192.168.244.29,0,LEGITIMATE,2026-06-28T09:55:04.556502+00:00
TX_E40186999BDB,CARD_100242,USR_50242,1.5,USD,M_APPL_03,Apple Flagship Store,ELECTRONICS,CNP,CREDIT_PLATINUM,MASTERCARD,41.8951,-87.8326,US,DEV_169F4A5D,192.168.159.209,0,LEGITIMATE,2026-06-28T09:57:24.556502+00:00
TX_D3B8CD4E0B80,CARD_100191,USR_50191,82.64,USD,M_AMZN_01,Amazon Online Marketplace,E_COMMERCE,CHIP,DEBIT_STANDARD,VISA,25.7931,-80.105,US,DEV_BD80DACA,192.168.40.15,0,LEGITIMATE,2026-06-28T09:59:44.556502+00:00
TX_A4E93F6B2860,CARD_100059,USR_50059,31.4,USD,M_SHL_04,Shell Gas & Convenience,GAS_STATION,CNP,DEBIT_PREPAID,MASTERCARD,29.8375,-95.3289,US,DEV_7D848871,192.168.63.188,0,LEGITIMATE,2026-06-28T10:02:04.556502+00:00
TX_9BAAAA0765E6,CARD_100307,USR_50307,1034.44,USD,M_BLG_06,Bellagio Hotel & Casino,GAMBLING,CHIP,DEBIT_STANDARD,AMEX,29.8516,-95.3543,US,DEV_63779434,192.168.94.98,0,LEGITIMATE,2026-06-28T10:04:24.556502+00:00
TX_CF785781E99D,CARD_100164,USR_50164,600.32,USD,M_DLT_05,Delta Air Lines,TRAVEL_AIRLINE,CHIP,CREDIT_PLATINUM,DISCOVER,33.5243,-112.204,US,DEV_E97AA422,192.168.231.151,0,LEGITIMATE,2026-06-28T10:06:44.556502+00:00
TX_BAC4C91E6786,CARD_100033,USR_50033,780.24,USD,M_BLG_06,Bellagio Hotel & Casino,GAMBLING,CONTACTLESS,CREDIT_STANDARD,DISCOVER,34.1977,-118.119,US,DEV_3FF481E0,192.168.138.41,0,LEGITIMATE,2026-06-28T10:09:04.556502+00:00
TX_BC3D6B9AA544,CARD_100211,USR_50211,91.21,USD,M_WMT_02,Walmart Supercenter,GROCERY,CHIP,DEBIT_STANDARD,MASTERCARD,29.8143,-95.2084,US,DEV_B9A3CC80,192.168.184.97,0,LEGITIMATE,2026-06-28T10:11:24.556502+00:00
TX_01D3D093626B,CARD_100097,USR_50097,8.91,USD,M_MCD_09,McDonald's Fast Food,RESTAURANT,CNP,DEBIT_STANDARD,AMEX,34.1129,-118.3548,US,DEV_2FD0D9F0,192.168.72.152,0,LEGITIMATE,2026-06-28T10:13:44.556502+00:00
TX_30D39C5D92ED,CARD_100092,USR_50092,128.24,USD,M_WMT_02,Walmart Supercenter,GROCERY,CHIP,DEBIT_STANDARD,MASTERCARD,33.2802,-112.0795,US,DEV_E122E390,192.168.171.75,0,LEGITIMATE,2026-06-28T10:16:04.556502+00:00
TX_5E1DA0CCEB0F,CARD_100076,USR_50076,2372.7,USD,M_RLX_08,Rolex Boutique Geneva,LUXURY_JEWELRY,CNP,CREDIT_STANDARD,DISCOVER,33.5154,-112.0962,US,DEV_7DEEF6F1,192.168.77.108,0,LEGITIMATE,2026-06-28T10:18:24.556502+00:00
TX_1DE18F54330E,CARD_100468,USR_50468,1.5,USD,M_WMT_02,Walmart Supercenter,GROCERY,CNP,DEBIT_PREPAID,MASTERCARD,33.5055,-112.112,US,DEV_96D5BA77,192.168.247.111,0,LEGITIMATE,2026-06-28T10:20:44.556502+00:00
TX_0C5EC6FCBBA3,CARD_100067,USR_50067,144.08,USD,M_WMT_02,Walmart Supercenter,GROCERY,CHIP,DEBIT_STANDARD,MASTERCARD,29.5753,-95.2746,US,DEV_74B044A4,192.168.136.152,0,LEGITIMATE,2026-06-28T10:23:04.556502+00:00
TX_1B3DCCA0A9F4,CARD_100216,USR_50216,1.5,USD,M_WMT_02,Walmart Supercenter,GROCERY,CNP,CREDIT_PLATINUM,AMEX,40.6987,-74.0495,US,DEV_07FE2534,192.168.211.62,0,LEGITIMATE,2026-06-28T10:25:24.556502+00:00
